price,price_per_sq_m,sq_meter,location,type_of_property
,,280.0,"Krompachy, Krompachy, okres Spišská Nová Ves",Rodinný dom
,,177.0,"Krompachy, okres Spišská Nová Ves",Rodinný dom
45000.0,62.5,80.0,"Rázusova, Krompachy, okres Spišská Nová Ves",Rodinný dom
,,,"Krompachy, okres Spišská Nová Ves",Rodinný d
39900.0,22.91,,"Rázusova, Krompachy, okres Spišská Nová Ves",Rodinný d
62000.0,476.19,42.0,"Robotnícka, Krompachy, okres Spišská Nová Ves",Rodinný dom
174000.0,90.91,,"Krompachy, okres Spišská Nová Ves",Rodinný d
,,101.0,"SNP, Krompachy, okres Spišská Nová Ves",Rodinný dom
,,100.0,"Ulica SNP, Krompachy, okres Spišská Nová Ves",Rodinný dom
