price,price_per_sq_m,sq_meter,location,type_of_property
138500.0,222.56,32.8,"Jána Milca, Žilina - Staré mesto, okres Žilina",Apartmán
166500.0,561.54,65.0,"Hlinská, Žilina - Hliny, okres Žilina",3 izbový byt
155000.0,500.0,62.0,"Segnerova, Žilina - Hájik, okres Žilina",3 izbový byt
197500.0,185.48,62.0,"Segnerova, Žilina - Hájik, okres Žilina",3 izbový byt
419900.0,499.17,120.0,"Tajovského, Žilina - Bôrik, okres Žilina",3 izbový byt
189000.0,820.9,67.0,"M.R.Štefánika, Žilina - Staré mesto, okres Žilina",2 izbový byt
199000.0,206.06,165.0,"Žilina - Bánová, okres Žilina",4 izbový byt
268900.0,25.77,88.87,"Pražská, Žilina, okres Žilina",3 izbový byt
106900.0,711.81,28.8,"Pražská, Žilina, okres Žilina",1 izbový byt
117900.0,136.84,28.5,"Pražská, Žilina - Vlčince, okres Žilina",1 izbový byt
181900.0,103.04,58.62,"Pražská, Žilina - Vlčince, okres Žilina",2 izbový byt
150000.0,973.68,76.0,"Rajecká, Žilina - Hliny, okres Žilina",4 izbový byt
115000.0,300.0,50.0,"Dadanova, Žilina - Hájik, okres Žilina",2 izbový byt
150000.0,875.0,80.0,"B.S.Timravy, Žilina - Vlčince, okres Žilina",4 izbový byt
244900.0,884.23,84.91,"Pražská, Žilina - Vlčince, okres Žilina",3 izbový byt
195800.0,966.67,66.0,"Terchová, okres Žilina",3 izbový byt
215000.0,239.58,96.0,"Žilina, okres Žilina",5 a viac izbový byt
165000.0,115.38,78.0,"Žilina, okres Žilina",4 izbový byt
,,63.0,"Lietavská Lúčka, okres Žilina",2 izbový byt
167000.0,197.37,76.0,"Divina, okres Žilina",3 izbový byt
305000.0,210.14,138.0,"Žilina, okres Žilina",4 izbový byt
167000.0,197.37,76.0,"Divina, okres Žilina",3 izbový byt
123900.0,252.73,55.0,"Hollého, Žilina, okres Žilina",2 izbový byt
293000.0,488.11,117.76,"Žilina - Staré mesto, okres Žilina",4 izbový byt
169900.0,33.93,56.0,"Žilina, okres Žilina",2 izbový byt
140000.0,258.06,62.0,"Žilina, okres Žilina",2 izbový byt
140000.0,978.72,47.0,"Žilinská cesta, Lietavská Lúčka, okres Žilina",2 izbový byt
135500.0,37.59,66.5,"Pri celulózke, Žilina, okres Žilina",2 izbový byt
,,92.25,"Bôrická cesta, Žilina, okres Žilina",2 izbový byt
,,143.76,"Bôrická cesta, Žilina, okres Žilina",4 izbový byt
,,110.25,"Bôrická cesta, Žilina, okres Žilina",3 izbový byt
152000.0,377.78,45.0,"Školská, Rajecké Teplice, okres Žilina",2 izbový byt
,,55.0,"Lietavská Lúčka, okres Žilina",2 izbový byt
93000.0,166.67,18.0,"A.Bernoláka, Žilina - Hliny, okres Žilina",Garsónka
,,53.0,"Rajecká Lesná, Rajecká Lesná, okres Žilina",3 izbový byt
,,52.9,"Rajecká Lesná, Rajecká Lesná, okres Žilina",3 izbový byt
,,73.3,"Rajecká Lesná, Rajecká Lesná, okres Žilina",4 izbový byt
,,48.5,"Rajecká Lesná, Rajecká Lesná, okres Žilina",2 izbový byt
,,27.3,"Rajecká Lesná, Rajecká Lesná, okres Žilina",1 izbový byt
,,77.8,"Rajecká Lesná, Rajecká Lesná, okres Žilina",3 izbový byt
,,19.8,"Rajecká Lesná, Rajecké Teplice, okres Žilina",1 izbový byt
,,45.7,"Rajecká Lesná, Rajecká Lesná, okres Žilina",2 izbový byt
,,50.7,"Rajecká Lesná, Rajecká Lesná, okres Žilina",3 izbový byt
,,36.5,"Rajecká Lesná, Rajecké Teplice, okres Žilina",2 izbový byt
,,55.6,"Rajecká Lesná, Rajecká Lesná, okres Žilina",3 izbový byt
,,47.9,"Rajecká Lesná, Rajecká Lesná, okres Žilina",2 izbový byt
,,37.0,"Rajecká Lesná, Rajecká Lesná, okres Žilina",2 izbový byt
,,68.5,"Rajecká Lesná, Rajecká Lesná, okres Žilina",3 izbový byt
138000.0,486.49,55.5,"okr.Žilina, Rajecká Lesná, okres Žilina",3 izbový byt
102000.0,60.61,49.5,"okr.Žilina, Rajecká Lesná, okres Žilina",3 izbový byt
128000.0,571.43,28.0,"Pražská, Žilina - Vlčince, okres Žilina",1 izbový byt
165000.0,774.19,93.0,"Žilina, okres Žilina",3 izbový byt
154000.0,200.0,70.0,"Petzvalova, Žilina - Hájik, okres Žilina",3 izbový byt
122900.0,234.55,55.0,"Žilina, okres Žilina",2 izbový byt
,,69.0,"Žilina, okres Žilina",3 izbový byt
147000.0,773.58,53.0,"Žilina, okres Žilina",2 izbový byt
,,28.0,"Žilina, okres Žilina",Garsónka
44990.0,323.24,34.0,"Konská, Žilina, okres Žilina",2 izbový byt
139990.0,944.31,72.0,"Žilina, okres Žilina",3 izbový byt
,,82.0,"Žilina, okres Žilina",2 izbový byt
1.0,0.03,35.0,"Žilina, okres Žilina",1 izbový byt
139990.0,707.2,82.0,"Žilina, okres Žilina",3 izbový byt
132000.0,833.33,72.0,"Žilina, okres Žilina",3 izbový byt
,,35.0,"Žilina, okres Žilina",1 izbový byt
154900.0,844.05,84.0,"Žilina, okres Žilina",3 izbový byt
98000.0,722.22,36.0,"Žilina, okres Žilina",1 izbový byt
155000.0,540.98,61.0,"Dobšinského, Žilina - Vlčince, okres Žilina",2 izbový byt
136000.0,942.86,70.0,"Lipová, Rajec, okres Žilina",3 izbový byt
121000.0,25.0,40.0,"Bulharská, Žilina - Vlčince, okres Žilina",1 izbový byt
